MATRICOLA;TIPO BUS;MAC_ADDRESS
1653;EXTRAURBANO;0080371d82f8
1654;EXTRAURBANO;0012f3035d3d
1655;EXTRAURBANO;0080371B8806
1656;EXTRAURBANO;0080371d89f4
1657;EXTRAURBANO;0080371D7CA0
1658;EXTRAURBANO;0080371d8dde
1659;EXTRAURBANO;0012f3023224
1660;EXTRAURBANO;0080371b867d
1661;EXTRAURBANO;0012F303672B
1662;EXTRAURBANO;0012f3023188
1663;EXTRAURBANO;0080371d8def
1664;EXTRAURBANO;0012f3064e2c
1665;EXTRAURBANO;008037246E4A
1666;EXTRAURBANO;0012f3035cf2
1667;EXTRAURBANO;0012f30239e0
1668;EXTRAURBANO;0080371D7CE7
1669;EXTRAURBANO;0012f307e662
1670;EXTRAURBANO;0012f3035d33
1671;EXTRAURBANO;0080371D7CFD
1672;EXTRAURBANO;0080371D7CD8
1673;EXTRAURBANO;0012f30268c1
1674;EXTRAURBANO;00803719c16c
1675;EXTRAURBANO;0080371b832f
1676;EXTRAURBANO;0080371d7ceb
1677;EXTRAURBANO;0080371b8546
1678;EXTRAURBANO;0012f3034da9
1679;EXTRAURBANO;0080371d7cda
1680;EXTRAURBANO;0080371d8de8
1681;EXTRAURBANO;0080371d8d8e
1682;EXTRAURBANO;0012f318cb75
1683;EXTRAURBANO;0080371b8539
1684;EXTRAURBANO;0012f302323b
1685;EXTRAURBANO;0080371d8a13
1686;EXTRAURBANO;0080371d82e6
1687;EXTRAURBANO;0080371d82d8
1688;EXTRAURBANO;0012f3156fe8
1689;EXTRAURBANO;0012f30239de
1690;EXTRAURBANO;0012f3035d5b
1691;EXTRAURBANO;0012f303671f
1692;EXTRAURBANO;0012f3035cc8
1693;EXTRAURBANO;0012f3035d2d
1694;EXTRAURBANO;0012f303672c
1695;EXTRAURBANO;0080371b8570
1696;EXTRAURBANO;008037246e21
1697;EXTRAURBANO;0080371d8de0
1698;EXTRAURBANO;0012f3036708
1699;EXTRAURBANO;008037246e3c
1700;EXTRAURBANO;0012f30512fc
1701;EXTRAURBANO;0080371d8a1a
1702;EXTRAURBANO;0012f3157001
1703;EXTRAURBANO;0012f3035cc5
1704;EXTRAURBANO;0012f3035d6d
1705;EXTRAURBANO;0012f30268b8
1706;EXTRAURBANO;0012f307e5d7
1707;EXTRAURBANO;0012f30b1629
1708;EXTRAURBANO;0012f3035d38
1709;EXTRAURBANO;0080371b8688
1710;EXTRAURBANO;0080371d8d9b
1711;EXTRAURBANO;0080371b8801
1712;EXTRAURBANO;0012f3035d2e
1713;EXTRAURBANO;0080371d7cd6
1714;EXTRAURBANO;0012f318da3d
1715;EXTRAURBANO;0080371d89f0
1716;EXTRAURBANO;008037246e3f
1717;EXTRAURBANO;0012f3035cdf
1718;EXTRAURBANO;0080371b8362
1719;EXTRAURBANO;0080371b882f
1720;EXTRAURBANO;0080371b8343
1721;EXTRAURBANO;0080371d7cd3
1722;EXTRAURBANO;008037246E0A
1724;EXTRAURBANO;0080371d7cf6
1725;EXTRAURBANO;0012f3156ff3
1726;EXTRAURBANO;0012f303670e
1747;EXTRAURBANO;0012f3036727
1749;EXTRAURBANO;0012f302322b
1757;EXTRAURBANO;0080371D8D9A
1758;EXTRAURBANO;0080371B882D
1764;EXTRAURBANO;0080371b867c
1766;EXTRAURBANO;008037246E1C
1767;EXTRAURBANO;0080371d7cc7
1769;EXTRAURBANO;008037246E48
1777;EXTRAURBANO;0012f3036728
1778;EXTRAURBANO;0012f3023185
1780;EXTRAURBANO;0012f3035d32
1783;EXTRAURBANO;0012f3036714
1786;EXTRAURBANO;0080371b8820
1787;EXTRAURBANO;0012f3034dac
1788;EXTRAURBANO;0080371d8dca
1791;EXTRAURBANO;0080371D8DAB
1792;EXTRAURBANO;0012f3035d5c
1793;EXTRAURBANO;0080371d82de
1794;EXTRAURBANO;0080371d82e0
1795;EXTRAURBANO;0080371d7cd2
1796;EXTRAURBANO;008037246e5d
1797;EXTRAURBANO;0080371B8571
1798;EXTRAURBANO;008037246e29
1799;EXTRAURBANO;0080371B868F
1801;EXTRAURBANO;0080371B864E
1802;EXTRAURBANO;0012f30268b9
1803;EXTRAURBANO;0080371b852d
1804;EXTRAURBANO;0080371D8DDA
1805;EXTRAURBANO;0012f30268b5
1806;EXTRAURBANO;0080371b8340
1807;EXTRAURBANO;0012f3023259
1808;EXTRAURBANO;0080371b8810
1809;EXTRAURBANO;0080371B8526
1810;EXTRAURBANO;0012f3064e0a
1811;EXTRAURBANO;0080371b881b
1812;EXTRAURBANO;0012f303670b
1813;EXTRAURBANO;0080371d7ca4
1814;EXTRAURBANO;0080371D8DE3
1815;EXTRAURBANO;0080371d8a0f
1816;EXTRAURBANO;0080371B852C
1817;EXTRAURBANO;0012f3034d9b
1818;EXTRAURBANO;008037246e55
1819;EXTRAURBANO;0012f3035cd1
1820;EXTRAURBANO;0080371d8db7
1821;EXTRAURBANO;0012f3035cf1
1822;EXTRAURBANO;0080371B8640
1823;EXTRAURBANO;0012f30239d4
1824;EXTRAURBANO;0080371B8A72
1825;EXTRAURBANO;0012f3034d9f
1826;EXTRAURBANO;0080371B8648
1827;EXTRAURBANO;0012f3064e73
1828;EXTRAURBANO;0012f303672f
1829;EXTRAURBANO;0012f3035ccd
1830;EXTRAURBANO;0012f303672d
1831;EXTRAURBANO;0080371b856d
1832;EXTRAURBANO;008037246E17
1833;EXTRAURBANO;008037246e45
1834;EXTRAURBANO;0012f307e635
1851;EXTRAURBANO;008037246e28
1852;EXTRAURBANO;0080371d7cf1
1853;EXTRAURBANO;0080371B8678
1854;EXTRAURBANO;008037246e20
1855;EXTRAURBANO;0080371B8660
1856;EXTRAURBANO;0080371da05e
1857;EXTRAURBANO;0012f3051325
1858;EXTRAURBANO;0080371b856c
1859;EXTRAURBANO;0012f3036706
1860;EXTRAURBANO;0080371d7cff
1861;EXTRAURBANO;0080371b836f
1862;EXTRAURBANO;0080371d82e5
1863;EXTRAURBANO;0012f30b163c
1864;EXTRAURBANO;0080371d89fd
1865;EXTRAURBANO;0080371d8a19
1866;EXTRAURBANO;0080371b8568
1867;EXTRAURBANO;008037246e60
1868;EXTRAURBANO;0080371d7cb3
1869;EXTRAURBANO;00803719c50f
1870;EXTRAURBANO;0080371d82d9
1871;EXTRAURBANO;0012f3035d3c
1872;EXTRAURBANO;0080371D7CDC
1873;EXTRAURBANO;0012f3023250
1874;EXTRAURBANO;0080371b8670
1875;EXTRAURBANO;0080371D8DEC
1876;EXTRAURBANO;0012f3036712
1877;EXTRAURBANO;0080371b8344
1878;EXTRAURBANO;0080371d8daa
1879;EXTRAURBANO;0012f3035d3f
1880;EXTRAURBANO;0080371D82E3
1881;EXTRAURBANO;008037246e37
1882;EXTRAURBANO;008037246e0c
1883;EXTRAURBANO;0080371b8685
1884;EXTRAURBANO;0080371b8523
1885;EXTRAURBANO;0080371b855f
1886;EXTRAURBANO;0080371b8641
1887;EXTRAURBANO;0080371b8534
1888;EXTRAURBANO;0012f3034d97
1889;EXTRAURBANO;0080371da044
1890;EXTRAURBANO;0012f3035d67
1891;EXTRAURBANO;0080371b8533
1892;EXTRAURBANO;0080371b8808
1893;EXTRAURBANO;0012f30239ea
1894;EXTRAURBANO;0080371d8308
1895;EXTRAURBANO;0080371b8673
1896;EXTRAURBANO;0080371b835c
1897;EXTRAURBANO;0080371b8a74
1898;EXTRAURBANO;00803719cbd0
1899;EXTRAURBANO;0080371b882b
1900;EXTRAURBANO;0012f30268c8
1956;EXTRAURBANO;0012f3023227
1957;EXTRAURBANO;0012f3064dda
1958;EXTRAURBANO;0080371D89FF
1959;EXTRAURBANO;0080371b8835
1960;EXTRAURBANO;0080371b8336
1961;EXTRAURBANO;0012f3035cd8
1962;EXTRAURBANO;0080371b8536
1963;EXTRAURBANO;0080371d8dc7
1964;EXTRAURBANO;0080371d7cb0
1965;EXTRAURBANO;0012f3036702
1966;EXTRAURBANO;0012f309541b
1967;EXTRAURBANO;0012f3023238
1968;EXTRAURBANO;0012f3064e76
1969;EXTRAURBANO;0012f3035cc4
1970;EXTRAURBANO;008037246e4e
1971;EXTRAURBANO;0080371b867a
1972;EXTRAURBANO;0080371b833a
1981;EXTRAURBANO;0012f3023223
1982;EXTRAURBANO;0012f3035cd3
1983;EXTRAURBANO;0080371da05f
1984;EXTRAURBANO;0080371da054
1985;EXTRAURBANO;0012f30231df
1986;EXTRAURBANO;0012f3035d2f
1987;EXTRAURBANO;0080371b8345
1988;EXTRAURBANO;0080371d7cc1
1989;EXTRAURBANO;0012f30268bc
1991;EXTRAURBANO;0012f3064db7
1992;EXTRAURBANO;0012f30268b6
1993;EXTRAURBANO;0080371d8db0
1994;EXTRAURBANO;0012f3064e1f
1997;EXTRAURBANO;0080371b8367
1998;EXTRAURBANO;0080371d7cfb
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
